model,learning_rate,optimizer,dropout,batch_size,best_epoch,training_time,num_parameters,train_accuracy,dev_accuracy,train_loss,dev_loss,accuracy_diff_pct,loss_diff_pct,timestamp
CNN_32_64_128_Dropout_Gridsearch_Relu,0.005,Adam,0.1,128,8,527.2199549674988,617024,0.4938732433483308,0.4042,1.4359634624530682,1.734374875210701,18.157137394277488,20.78126780801611,2026-01-09 18:48:03
CNN_64_Dropout_Gridsearch_Relu,0.001,Adam,0.1,64,18,997.7305459976196,262848,0.5108093095595179,0.4153,1.443407874322641,1.768264194795572,18.6976446537119,22.506203981004237,2026-01-08 23:38:25
CNN_64_Dropout_Gridsearch_Relu,0.001,Adam,0.1,128,20,439.80667424201965,262848,0.5134422040770983,0.41696666666666665,1.4315973381328515,1.7601724436942567,18.789950776221133,22.9516426727886,2026-01-09 16:19:47
CNN_32_64_128_Dropout_Gridsearch_Relu,0.001,Adam,0.1,128,4,373.1676411628723,617024,0.5365827917569294,0.4312,1.3229351303809571,1.6464332022565475,19.63961449674433,24.453056272111752,2026-01-09 18:39:02
CNN_64_128_256_Dropout_Gridsearch_Relu,0.001,Adam,0.1,64,3,610.0679824352264,1418304,0.5364605899016831,0.43093333333333333,1.3142638207541384,1.6375980857592911,19.671017508982292,24.601929985383006,2026-01-09 05:49:01
CNN_32_64_Dropout_Gridsearch_Relu,0.001,Adam,0.1,64,6,743.5011444091797,281024,0.5230072765650169,0.41596666666666665,1.3689763988204329,1.7057737038333787,20.466371061100073,24.602126472241917,2026-01-09 01:07:19
CNN_32_64_Dropout_Gridsearch_Relu,0.001,Adam,0.2,128,14,577.6309289932251,281024,0.5471754707548742,0.42696666666666666,1.3120697374537047,1.638741681423593,21.96896800259877,24.89745282928719,2026-01-09 17:26:32
CNN_64_128_Dropout_Gridsearch_Tanh,0.01,Adam,0.1,64,20,1069.3345739841461,598848,0.413681053157807,0.32203333333333334,37.488702352641106,51.69441105612814,22.154198053037927,37.89330601486191,2026-01-09 11:13:26
CNN_64_128_256_Dropout_Gridsearch_Relu,0.001,Adam,0.2,128,5,389.6454975605011,1418304,0.5679886685552408,0.4387,1.22841348496412,1.6181835352106297,22.762543640897757,31.729548317185262,2026-01-09 20:07:22
CNN_64_128_256_Dropout_Gridsearch_Tanh,0.005,Adam,0.1,64,20,1320.153443813324,1418304,0.42456257290451593,0.3257,36.68921935579508,51.48717447130411,23.285748488892384,40.33325149822705,2026-01-09 14:19:49
